id	source	target
6a6ad756-db23-4645-9bc5-3d00848490e1	ош облустук рысбай абдыкадыров атындагы филармониясында болуп откон  иш чарага шаардан тогуз мектеп катышты	ош облустук рысбай абдыкадыров атындагы филармониясында болуп өткөн  иш чарага шаардан тогуз мектеп катышты
43b255b4-c054-4599-b269-611f1b48949b	бул сынак беш турдан  туруп, кийим  коргозуу интеллектуалдык оюндар жана  уй бекеси сынактарын камтыды.	бул сынак беш турдан  туруп, кийим  көргөзүү интеллектуалдык оюндар жана  үй бекеси сынактарын камтыды.
cc62fe0d-31c3-474d-ab39-310abb15f239	тыныгуу учурунда  жергиликтуу ырчылар  жана квн командалары коштоп турду.	тыныгуу учурунда  жергиликтүү ырчылар  жана квн командалары коштоп турду.
c8101504-6e03-4bf1-ab97-e988ef86abd0	ош шаарынын мериясынын алдында тузулгон  жаштар иштери боюнча  комитетинин торагасы сонунбек жунусбаевтин  айтымында  бул иш чаранын негизги максаты  улуттар арасындагы  ынтыкамкты бекемдоо.	ош шаарынын мериясынын алдында түзүлгөн  жаштар иштери боюнча  комитетинин төрагасы сонунбек жунусбаевтин  айтымында  бул иш чаранын негизги максаты  улуттар арасындагы  ынтыкамкты бекемдөө.
0049ad1f-a3c8-4357-96c4-d84f22f2cdf0	«бул конкурс кыздарга ыйман туурасында тарбия берет жана келечекте тураа туз жолдо журуусуно оболго тузот», - деп тушундурот ал.	«бул конкурс кыздарга ыйман туурасында тарбия берет жана келечекте тураа түз жолдо жүрүүсүнө өбөлгө түзөт», - деп түшүндүрөт ал.
31616f79-d480-4858-96b3-dd2c45d6aae2	ошондой эле с. жунусбаев бул сынак  «ото жогорку денгээлде откондугун жана жаштар оздорунун конул ачуу  убактысынын  текке кетпегендигин» тастыктайт.	ошондой эле с. жунусбаев бул сынак  «өтө жогорку деңгээлде өткөндүгүн жана жаштар өздөрүнүн көңүл ачуу  убактысынын  текке кетпегендигин» тастыктайт.
ef54a6d6-25fc-4714-b03c-74ce0c23a2b2	сынактын коруучусу ислам шаршекеев   анын ойюна  кошулат.	сынактын көрүүчүсү ислам шаршекеев   анын ойюна  кошулат.
0a54bc83-cba8-4ed4-bde4-2bac647b55c1	«бул иш чара  абдан  жогорку денгээлде отту,  мага абдан жакты».	«бул иш чара  абдан  жогорку деңгээлде өттү,  мага абдан жакты».
e2ecf42c-6bbe-4955-918e-76a8297afcbf	ал  бул иш чарада калыстар тобу кыргыз маданияты жана урп адаттарына кобуроок басым жасашканын билдирет.	ал  бул иш чарада калыстар тобу кыргыз маданияты жана үрп адаттарына көбүрөөк басым жасашканын билдирет.
731a5789-d0e5-4a70-b5d3-928a0dd7de53	катышуучуларды телеканал окулдору жана ош шаарынын жаштар иштери боюнча  комитетинин окулдору баалашты.	катышуучуларды телеканал өкүлдөрү жана ош шаарынын жаштар иштери боюнча  комитетинин өкүлдөрү баалашты.
